"id","name","unit_name","nutrient_nbr","rank"
"1194","Choline, free","MG","450","7230"
"1195","Choline, from phosphocholine","MG","451","7240"
"1196","Choline, from phosphotidyl choline","MG","452","7250"
"1197","Choline, from glycerophosphocholine","MG","453","7260"
"1198","Betaine","MG","454","7290"
"1199","Choline, from sphingomyelin","MG","455","7270"
"1210","Tryptophan","G","501","16300"
"1211","Threonine","G","502","16400"
"1212","Isoleucine","G","503","16500"
"1213","Leucine","G","504","16600"
"1214","Lysine","G","505","16700"
"1215","Methionine","G","506","16800"
"1216","Cystine","G","507","16900"
"1217","Phenylalanine","G","508","17000"
"1218","Tyrosine","G","509","17100"
"1219","Valine","G","510","17200"
"1220","Arginine","G","511","17300"
"1221","Histidine","G","512","17400"
"1222","Alanine","G","513","17500"
"1223","Aspartic acid","G","514","17600"
"1224","Glutamic acid","G","515","17700"
"1225","Glycine","G","516","17800"
"1226","Proline","G","517","17900"
"1227","Serine","G","518","18000"
"1228","Hydroxyproline","G","521","18100"
"1232","Cysteine","G","526","999999"
"1233","Glutamine","G","528","999999"
"1234","Taurine","G","529","999999"
"1235","Sugars, added","G","539","1540"
"1242","Vitamin E, added","MG","573","7920"
"1246","Vitamin B-12, added","UG","578","7340"
"1253","Cholesterol","MG","601","15700"
"1257","Fatty acids, total trans","G","605","15400"
"1258","Fatty acids, total saturated","G","606","9700"
"1259","4:0","G","607","9800"
"1260","6:0","G","608","9900"
"1261","8:0","G","609","10000"
"1262","10:0","G","610","10100"
"1263","12:0","G","611","10300"
"1264","14:0","G","612","10500"
"1265","16:0","G","613","10700"
"1266","18:0","G","614","10900"
"1267","20:0","G","615","11100"
"1268","18:1","G","617","12100"
"1269","18:2","G","618","13100"
"1270","18:3","G","619","13900"
"1271","20:4","G","620","14700"
"1272","22:6 n-3 (DHA)","G","621","15300"
"1273","22:0","G","624","11200"
"1274","14:1","G","625","11500"
"1275","16:1","G","626","11700"
"1276","18:4","G","627","14250"
"1277","20:1","G","628","12400"
"1278","20:5 n-3 (EPA)","G","629","15000"
"1279","22:1","G","630","12500"
"1280","22:5 n-3 (DPA)","G","631","15200"
"1281","14:1 t","G","821","15510"
"1283","Phytosterols","MG","636","15800"
"1285","Stigmasterol","MG","638","15900"
"1286","Campesterol","MG","639","16000"
"1287","Brassicasterol","MG","640","16100"
"1288","Beta-sitosterol","MG","641","16200"
"1289","Campestanol","MG","642","16221"
"1292","Fatty acids, total monounsaturated","G","645","11400"
"1293","Fatty acids, total polyunsaturated","G","646","12900"
"1294","Beta-sitostanol","MG","647","16221"
"1296","Delta-5-avenasterol","MG","649","16221"
"1298","Phytosterols, other","MG","651","16221"
"1299","15:0","G","652","10600"
"1300","17:0","G","653","10800"
"1301","24:0","G","654","11300"
"1303","16:1 t","G","662","15520"
"1304","18:1 t","G","663","15521"
"1305","22:1 t","G","664","15550"
"1306","18:2 t not further defined","G","665","15610"
"1307","18:2 i","G","666","13350"
"1310","18:2 t,t","G","669","15615"
"1311","18:2 CLAs","G","670","13300"
"1312","24:1 c","G","671","12800"
"1313","20:2 n-6 c,c","G","672","14300"
"1314","16:1 c","G","673","11800"
"1315","18:1 c","G","674","12200"
"1316","18:2 n-6 c,c","G","675","13200"
"1317","22:1 c","G","676","12600"
"1321","18:3 n-6 c,c,c","G","685","14100"
"1323","17:1","G","687","12000"
"1325","20:3","G","689","14400"
"1329","Fatty acids, total trans-monoenoic","G","693","15500"
"1330","Fatty acids, total trans-dienoic","G","694","15601"
"1331","Fatty acids, total trans-polyenoic","G","695","15619"
"1332","13:0","G","696","10400"
"1333","15:1","G","697","11600"
"1334","22:2","G","698","15100"
"1335","11:0","G","699","10200"
"1368","Epigallocatechin-3-gallate","MG","753","20700"
"1403","Inulin","G","806","999999"
"1404","18:3 n-3 c,c,c (ALA)","G","851","14000"
"1405","20:3 n-3","G","852","14500"
"1406","20:3 n-6","G","853","14600"
"1408","20:4 n-6","G","855","14900"
"1409","18:3i","G","856","14200"
"1410","21:5","G","857","15100"
"1411","22:4","G","858","15160"
"1412","18:1-11 t (18:1t n-7)","G","859","12310"
"1414","20:3 n-9","G","861","14650"
"2000","Sugars, total including NLEA","G","269","1510"
"2003","5:0","G","632","9850"
"2004","7:0","G","633","9950"
"2005","9:0","G","634","10050"
"2006","21:0","G","681","11150"
"2007","23:0","G","682","11250"
"2008","12:1","G","635","11450"
"2009","14:1 c","G","822","11501"
"2010","17:1 c","G","825","12001"
"2012","20:1 c","G","829","12401"
"2013","20:1 t","G","830","15540"
"2014","22:1 n-9","G","676.1","12601"
"2015","22:1 n-11","G","676.2","12602"
"2016","18:2 c","G","831","13150"
"2018","18:3 c","G","833","13910"
"2019","18:3 t","G","834","15660"
"2020","20:3 c","G","835","14450"
"2021","22:3","G","683","14675"
"2022","20:4 c","G","836","14750"
"2023","20:5 c","G","837","14950"
"2024","22:5 c","G","838","15150"
"2025","22:6 c","G","839","15250"
"2026","20:2 c","G","840","14250"
"2028","trans-beta-Carotene","UG","321.2","7444"
"2029","trans-Lycopene","UG","337.2","7534"
"2032","Cryptoxanthin, alpha","UG","335","7461"
